Subject Number,a. Reflection on the concept - Rank,b. Game for individual decisions - Rank,c. Presentation - Rank,d. Peer evaluations - Rank,e. Debate for Pro & Con - Rank,f. Lecture - Rank,g. Simulate economic cases using python - Rank,h. Doing quizzes/exams - Rank,i. Solving problem sets/homework - Rank,j. Group discussion during class - Rank
1,7,2,4,10,9,6,1,5,3,8
2,9,2,3,10,8,4,6,5,7,1
3,3,1,4,9,6,7,2,5,10,8
4,7,5,6,10,3,2,4,9,8,1
5,4,3,2,10,9,8,5,6,7,1
6,6,7,1,10,9,5,4,2,3,8
7,2,7,8,5,1,4,9,10,6,3
8,9,1,5,8,10,2,7,3,4,6
9,9,10,8,6,7,3,1,4,2,5
10,8,4,3,5,1,9,6,10,7,2
11,2,1,3,4,7,8,9,10,6,5
12,1,8,3,10,9,5,7,4,6,2
13,3,1,9,10,7,4,2,6,5,8
14,8,1,7,10,3,5,6,9,4,2
15,9,2,3,10,8,1,4,6,7,5
16,2,5,9,4,8,7,6,1,3,10
17,6,5,1,9,10,7,3,8,4,2
18,9,5,10,4,3,1,8,7,6,2
19,4,2,3,7,1,8,6,10,9,5
20,4,3,10,7,5,6,1,8,2,9
21,3,7,4,6,1,5,10,9,8,2
22,3,4,9,8,5,2,10,1,6,7
23,6,1,5,4,2,8,10,7,9,3
24,4,3,5,6,2,8,1,10,7,9
25,10,5,6,9,7,8,4,1,3,2
26,6,8,1,5,2,7,9,10,4,3
27,9,1,10,8,6,2,4,5,7,3
28,3,2,8,10,1,4,5,9,6,7
